Source,club1_name,Target,club2_name,club1_wins,club2_wins,draws
1724,Man Utd,2248,Strasbourg,1,0,1
1724,Man Utd,246,Bordeaux,2,0,0
1724,Man Utd,1800,Nantes,1,0,1
1724,Man Utd,398,B Dortmund,3,2,1
1724,Man Utd,468,B Leverkusen,4,0,2
1724,Man Utd,469,B Munich,2,4,5
1724,Man Utd,5709,RB Leipzig,1,1,0
1724,Man Utd,2260,Schalke,2,0,0
1724,Man Utd,2682,Stuttgart,1,1,0
1724,Man Utd,2967,Wolfsburg,3,1,0
1823,Newcastle,2328,Sheff Utd,47,50,29
1823,Newcastle,2471,Southampton,40,37,23
1823,Newcastle,2590,Tottenham,59,71,34
1823,Newcastle,2744,West Brom,48,48,35
1823,Newcastle,2802,West Ham,57,42,38
1823,Newcastle,2848,Wolves,32,40,28
1823,Newcastle,224,Barcelona,1,3,0
1823,Newcastle,207,Athletic Bilbao,1,1,0
1823,Newcastle,690,Celta Vigo,1,0,0
1823,Newcastle,1370,Inter,1,1,2
1823,Newcastle,1408,Juventus,1,1,0
1823,Newcastle,2163,Roma,0,1,1
1823,Newcastle,1674,Monaco,0,2,0
1823,Newcastle,1748,Marseille,0,1,1
1823,Newcastle,1772,Metz,1,0,1
1823,Newcastle,246,Bordeaux,1,1,0
1823,Newcastle,468,B Leverkusen,2,0,0
1823,Newcastle,884,E Frankfurt,0,0,1
2328,Sheff Utd,2471,Southampton,25,20,13
2328,Sheff Utd,2590,Tottenham,29,37,27
2328,Sheff Utd,2744,West Brom,43,45,27
2328,Sheff Utd,2802,West Ham,36,32,23
2328,Sheff Utd,2848,Wolves,39,40,37
2471,Southampton,2590,Tottenham,39,59,31
2471,Southampton,2744,West Brom,32,25,24
2471,Southampton,2802,West Ham,34,45,31
2471,Southampton,2848,Wolves,28,24,18
2471,Southampton,207,Athletic Bilbao,1,1,0
2471,Southampton,1370,Inter,1,1,0
2471,Southampton,1748,Marseille,1,1,0
2590,Tottenham,2744,West Brom,58,54,36
2590,Tottenham,2802,West Ham,67,52,38
2590,Tottenham,2848,Wolves,48,29,21
2590,Tottenham,163,Atletico Madrid,1,0,0
2590,Tottenham,2165,Real Madrid,1,3,2
2590,Tottenham,224,Barcelona,0,2,2
2590,Tottenham,2292,Sevilla,0,1,1
2590,Tottenham,3480,Getafe,0,1,0
2590,Tottenham,1370,Inter,3,3,0
2590,Tottenham,41,AC Milan,2,0,2
2590,Tottenham,1408,Juventus,0,1,1
2590,Tottenham,1501,Lazio,0,0,2
2590,Tottenham,2634,Udinese,0,1,0
2590,Tottenham,999,Fiorentina,1,1,2
2590,Tottenham,1674,Monaco,1,2,1
2590,Tottenham,1645,Lyon,2,1,1
2590,Tottenham,1800,Nantes,1,0,1
2590,Tottenham,398,B Dortmund,4,2,0
2590,Tottenham,468,B Leverkusen,1,1,1
2590,Tottenham,469,B Munich,1,4,1
2590,Tottenham,970,Cologne,2,0,0
2590,Tottenham,884,E Frankfurt,1,1,0
2590,Tottenham,5709,RB Leipzig,0,2,0
2590,Tottenham,2854,W Bremen,1,0,1
2744,West Brom,2802,West Ham,41,40,25
2744,West Brom,2848,Wolves,65,53,43
2744,West Brom,2697,Valencia,1,0,1
2744,West Brom,268,Bologna,0,2,0
2802,West Ham,2848,Wolves,30,22,14
2802,West Ham,1772,Metz,1,1,0
2802,West Ham,398,B Dortmund,0,2,0
2802,West Ham,884,E Frankfurt,1,1,0
2848,Wolves,224,Barcelona,0,2,0
2848,Wolves,2292,Sevilla,0,1,0
2848,Wolves,1408,Juventus,1,0,1
2848,Wolves,2584,Torino,2,0,0
2848,Wolves,2260,Schalke,0,1,1
163,Atletico Madrid,2165,Real Madrid,12,38,22
163,Atletico Madrid,224,Barcelona,18,31,16
163,Atletico Madrid,2292,Sevilla,17,19,19
163,Atletico Madrid,2192,Sociedad,21,18,8
163,Atletico Madrid,3123,Villarreal,15,14,11
163,Atletico Madrid,2159,Real Betis,21,12,13
163,Atletico Madrid,3427,Granada,16,0,4
163,Atletico Madrid,207,Athletic Bilbao,32,14,8
163,Atletico Madrid,3251,Levante,16,7,5
163,Atletico Madrid,690,Celta Vigo,22,11,11
163,Atletico Madrid,3216,Cadiz,3,0,1
163,Atletico Madrid,2697,Valencia,22,20,18
163,Atletico Madrid,3480,Getafe,22,4,8
163,Atletico Madrid,2975,Alaves,10,4,4
163,Atletico Madrid,2676,Valladolid,22,8,5
163,Atletico Madrid,3496,Huesca,3,0,1
163,Atletico Madrid,3481,Elche,6,0,1
163,Atletico Madrid,889,Eibar,12,1,3
163,Atletico Madrid,1951,Osasuna,18,12,5
163,Atletico Madrid,1370,Inter,1,0,0
163,Atletico Madrid,41,AC Milan,2,0,0
163,Atletico Madrid,1408,Juventus,3,6,2
163,Atletico Madrid,1501,Lazio,2,1,1
163,Atletico Madrid,2163,Roma,3,0,1
163,Atletico Madrid,2634,Udinese,1,1,0
